Objects
100
,,Global Angle LEDS:LEDS,,,,,,Global Angle Reflective Balls:Reflective Balls,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.082923,0.101415,3.111545,-5.787501,13.494946,1374.039795,1.589890,2.679746,-0.033335,-5.260319,15.011770,1373.598755
2,0,-0.087589,0.104089,3.117691,-5.797337,12.305876,1373.971802,1.588489,2.680881,-0.033055,-5.490439,14.015532,1373.657715
3,0,-0.097803,0.106558,3.115368,-5.771747,11.358562,1374.024414,1.587511,2.683060,-0.034585,-5.691425,13.007946,1373.568481
4,0,-0.087225,0.108171,3.112158,-6.043919,10.142229,1373.713379,1.585016,2.685321,-0.034505,-5.923077,12.001902,1373.492432
5,0,-0.089602,0.095845,3.120780,-6.762005,9.467935,1373.641724,1.582173,2.685864,-0.035979,-6.157141,10.937204,1373.335327
6,0,-0.092726,0.121185,3.120605,-6.879936,8.590032,1373.477295,1.578494,2.691028,-0.032111,-6.448823,9.817904,1373.368164
7,0,-0.076545,0.103138,3.128746,-7.223876,7.725811,1373.392334,-0.043536,-0.000796,-0.005480,-7.002739,8.972534,1373.111206
8,0,-0.081340,0.099103,3.128413,-7.350310,6.345581,1373.314087,-0.041829,-0.000114,-0.003195,-7.116446,7.847445,1372.926880
9,0,-0.095535,0.096854,3.138669,-7.499656,5.478464,1373.310791,-0.040230,0.000553,-0.000808,-7.377579,6.822654,1372.760376
10,0,-0.092845,0.099185,3.140666,-7.858108,4.412300,1372.821045,-0.038984,0.000553,0.001397,-7.637713,5.807575,1372.500610
11,0,-0.090145,0.122583,3.134871,-8.168666,3.619641,1372.545410,-0.038418,0.000563,0.003674,-7.942523,4.835667,1372.222900
12,0,-0.104015,0.118158,3.132447,-8.577497,2.628418,1372.448608,-0.038206,0.000237,0.006794,-8.263662,3.816810,1371.897339
13,0,-0.086624,0.099207,3.140800,-9.083596,1.692558,1371.789551,-0.037443,-0.000530,0.009956,-8.697344,2.853960,1371.635376
14,0,-0.076449,0.082434,3.149909,-9.407061,0.409713,1371.554077,-0.037093,-0.000605,0.011767,-9.044732,1.716501,1371.364258
15,0,-0.083691,0.105476,3.151111,-9.806194,-0.386072,1371.572388,-0.037172,-0.001671,0.015068,-9.478739,0.651220,1371.122681
16,0,-0.086866,0.111022,3.151081,-10.049330,-2.004950,1371.151489,-0.036962,-0.003052,0.020216,-10.074657,-0.337956,1370.862305
17,0,-0.095089,0.113251,3.155437,-10.945088,-2.714123,1370.916138,-0.036505,-0.003907,0.023737,-10.568903,-1.429005,1370.649170
18,0,-0.104571,0.113314,3.154870,-11.359958,-3.818406,1370.840942,-0.036646,-0.004168,0.027797,-11.036123,-2.539244,1370.467896
19,0,-0.098051,0.103937,3.162572,-11.866101,-5.487306,1370.543091,-0.036877,-0.005368,0.031304,-11.596601,-3.682258,1370.350220
20,0,-0.111586,0.096063,3.172282,-12.213635,-6.417673,1370.334106,-0.037096,-0.006716,0.035199,-12.166481,-4.819218,1370.228149
21,0,-0.098663,0.112671,3.174874,-12.889308,-7.604019,1370.440918,-0.037264,-0.008292,0.040442,-12.606480,-6.048959,1370.162964
22,0,-0.095096,0.120919,3.168546,-13.259423,-8.671613,1370.532471,1.500025,2.728881,-0.019094,-13.125157,-7.346964,1370.196533
23,0,-0.112438,0.129563,3.172800,-13.991332,-10.007409,1370.220459,1.494724,2.730878,-0.017767,-13.780590,-8.496269,1370.245728
24,0,-0.082032,0.122789,3.164973,-14.221156,-11.088336,1370.334839,1.489812,2.733238,-0.018834,-14.282280,-9.840971,1370.263184
25,0,-0.041460,-0.007543,0.043200,-15.329329,-12.151875,1370.847046,-0.038856,-0.010932,0.056734,-14.914490,-10.940263,1370.448364
26,0,-0.035712,-0.016558,0.050374,-15.928544,-13.222446,1371.081665,-0.038617,-0.013120,0.060959,-15.580992,-12.167065,1370.611816
27,0,-0.049592,-0.010826,0.052502,-16.548534,-14.781656,1371.219360,-0.038511,-0.014349,0.063823,-16.308567,-13.272697,1370.844727
28,0,-0.051062,-0.017026,0.053500,-16.989149,-15.966207,1371.607910,-0.039302,-0.014902,0.067418,-16.995333,-14.439933,1371.120483
29,0,-0.040686,-0.016216,0.065272,-17.870632,-16.948570,1372.085815,-0.039400,-0.015455,0.071867,-17.673615,-15.616994,1371.366089
30,0,-0.048214,-0.008865,0.064173,-18.508320,-18.120789,1372.229248,-0.040246,-0.016160,0.075599,-18.345387,-16.800652,1371.594116
31,0,-0.046457,-0.013378,0.064448,-19.317446,-19.334848,1372.162476,-0.041325,-0.016256,0.079070,-19.087154,-17.999823,1371.828491
32,0,-0.051434,-0.016410,0.075279,-20.175690,-20.539349,1372.519409,-0.043348,-0.016706,0.082367,-19.822454,-19.121426,1372.063965
33,0,-0.051467,-0.029785,0.075053,-20.678051,-21.497679,1372.507202,-0.043387,-0.017126,0.087136,-20.415470,-20.422260,1372.192139
34,0,-0.050515,-0.013242,0.081278,-21.568930,-22.950785,1372.936646,-0.043233,-0.017345,0.092125,-21.191212,-21.503099,1372.463867
35,0,,,,,,,-0.042128,-0.016580,0.097193,-21.871218,-22.689007,1372.675171
36,0,,,,,,,-0.040660,-0.015731,0.101793,-22.585426,-23.835064,1372.775391
37,0,0.102590,-0.105309,-3.042967,-23.378061,-26.684872,1373.354492,-0.042333,-0.013887,0.104946,-23.218061,-25.148041,1372.926880
38,0,0.101626,-0.110101,-3.040702,-23.849258,-27.788742,1373.374878,-0.042232,-0.012322,0.109903,-23.906443,-26.386930,1373.008789
39,0,0.095433,-0.098794,-3.035704,-24.359463,-29.021193,1373.418701,-0.041807,-0.012153,0.114423,-24.585756,-27.574633,1373.074463
40,0,0.116278,-0.109224,-3.025800,-25.374016,-30.192472,1373.700073,-0.040425,-0.010217,0.117114,-24.984579,-28.860958,1373.217529
41,0,0.095329,-0.107022,-3.021040,-25.928759,-31.433079,1373.511230,-0.041245,-0.009585,0.124246,-25.911932,-29.983583,1373.145996
42,0,0.108852,-0.120815,-3.018446,-26.514080,-32.696999,1373.641724,-0.040078,-0.008890,0.126601,-26.246513,-31.328085,1373.243408
43,0,0.113165,-0.116028,-3.011527,-27.073523,-33.787766,1373.688354,-0.039610,-0.008504,0.131169,-26.882582,-32.576424,1373.159424
44,0,0.098961,-0.104550,-3.002901,-27.806101,-35.091846,1373.323608,-0.039317,-0.006785,0.135370,-27.587606,-33.837467,1373.161011
45,0,0.107850,-0.119861,-2.997837,-28.497984,-36.363937,1373.342407,-0.037976,-0.007415,0.141204,-28.145657,-35.171432,1373.089722
46,0,-0.051566,-0.009428,0.137711,-29.208540,-37.508194,1373.671509,-0.037167,-0.007509,0.146135,-28.734024,-36.441269,1373.000366
47,0,-0.049117,-0.005128,0.140874,-29.553936,-39.118900,1373.205933,-0.035339,-0.007522,0.149537,-29.239670,-37.772041,1372.943237
48,0,-0.048040,0.000843,0.142670,-30.281843,-40.019753,1373.632568,-0.034446,-0.004822,0.154060,-29.802162,-39.010582,1372.790894
49,0,0.096362,-0.075030,-2.986701,-30.780931,-41.352013,1373.409058,-0.031406,-0.005794,0.158742,-30.403734,-40.194202,1372.781372
50,0,0.099785,-0.077075,-2.980135,-31.479128,-42.503178,1373.445557,-0.028670,-0.005688,0.162695,-30.987196,-41.401577,1372.714966
51,0,0.092066,-0.047861,-2.970500,-32.087395,-44.285229,1373.167969,-0.024749,-0.005647,0.167184,-31.582621,-42.522999,1372.674316
52,0,-0.033838,-0.006243,0.164424,-32.525936,-44.820549,1373.221802,-0.024039,-0.005214,0.169476,-32.154408,-43.606422,1372.567993
53,0,-0.028782,-0.022023,0.167546,-33.181900,-45.995792,1373.390625,-0.020817,-0.006688,0.173026,-32.718662,-44.828850,1372.474731
54,0,-0.013169,-0.008179,0.172244,-33.503307,-47.159721,1372.650879,-0.018344,-0.006469,0.177030,-33.206993,-45.931244,1372.257324
55,0,0.126861,-0.074754,-2.964154,-33.941368,-48.495953,1372.883423,-0.015324,-0.007542,0.180329,-33.744553,-47.032005,1372.087646
56,0,0.106471,-0.048312,-2.957831,-34.535515,-49.402374,1372.715576,-0.012519,-0.007547,0.184040,-34.231876,-48.133316,1371.965332
57,0,0.089134,-0.043766,-2.959352,-35.380306,-50.259731,1372.792236,-0.010418,-0.008237,0.186991,-34.743565,-49.211670,1371.832031
58,0,0.117145,-0.050693,-2.954188,-35.737411,-51.466297,1372.216919,-0.006738,-0.008787,0.189463,-35.338062,-50.325386,1371.760620
59,0,,,,,,,-0.005327,-0.008326,0.192150,-35.928852,-51.320248,1371.534912
60,0,,,,,,,-0.004988,-0.004630,0.193819,-36.571465,-52.248482,1371.504028
61,0,0.115081,-0.062044,-2.949542,-37.408463,-54.565094,1371.726318,-0.000726,-0.010158,0.198780,-36.846779,-53.273464,1371.062134
62,0,0.115847,-0.047164,-2.947970,-37.876095,-55.435028,1371.353760,0.001179,-0.010444,0.200759,-37.446754,-54.237789,1370.826172
63,0,0.098449,-0.035410,-2.946172,-38.531490,-56.422241,1371.006836,0.003100,-0.011468,0.202300,-38.076267,-55.228474,1370.612671
64,0,0.112193,-0.056618,-2.942839,-39.246113,-57.387779,1371.104858,0.003655,-0.011001,0.205486,-38.709118,-56.088749,1370.329834
65,0,0.110040,-0.034259,-2.939482,-39.974190,-58.220016,1370.721558,0.004560,-0.011133,0.207560,-39.381851,-57.014229,1370.057251
66,0,0.106692,-0.032727,-2.934112,-40.655949,-59.166851,1370.438843,0.005528,-0.011227,0.209830,-40.089951,-57.950928,1369.810303
67,0,2.871694,-1.272556,0.111855,-41.463402,-60.110107,1370.298950,0.006534,-0.011769,0.211951,-40.797176,-58.884232,1369.575806
68,0,2.878402,-1.275423,0.099228,-42.189182,-61.033760,1369.987549,0.006800,-0.010851,0.214683,-41.530228,-59.778782,1369.238647
69,0,2.878011,-1.270179,0.105652,-42.982239,-61.871891,1369.997192,0.006861,-0.010376,0.217313,-42.331646,-60.676994,1368.960938
70,0,2.876808,-1.261746,0.115905,-43.717609,-62.874607,1369.539795,0.007115,-0.010331,0.219894,-43.101807,-61.566891,1368.706299
